 Total Nb of available Diagnostics: ndiagt=   341
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   264 |SIareaPT|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding thermodynamic growth/melt
   265 |SIheff  |  1 |       |SM      M1|m               |SEAICE effective ice thickness
   266 |SIheffPT|  1 |       |SM      M1|m               |SIheff preceeeding thermodynamic growth/melt
   267 |SIhsnow |  1 |       |SM      M1|m               |SEAICE effective snow thickness
   268 |SIhsnoPT|  1 |       |SM      M1|m               |SIhsnow preceeeding thermodynamic growth/melt
   269 |SIhsalt |  1 |       |SM      M1|g/m^2           |SEAICE effective salinity
   270 |SItices |  1 |   262 |SM  C   M1|K               |Surface Temperature over Sea-Ice (area weighted)
   271 |SIuice  |  1 |   272 |UU      M1|m/s             |SEAICE zonal ice velocity, >0 from West to East
   272 |SIvice  |  1 |   271 |VV      M1|m/s             |SEAICE merid. ice velocity, >0 from South to North
   273 |SItaux  |  1 |   274 |UU      U1|N/m^2           |SEAICE zonal surface wind stress, >0 increases uIce
   274 |SItauy  |  1 |   273 |VV      U1|N/m^2           |SEAICE merid surface wind stress, >0 increases vIce
   275 |SIatmTx |  1 |   276 |UU      U1|N/m^2           |Zonal surface wind stress over Ocean+SeaIce
   276 |SIatmTy |  1 |   275 |VV      U1|N/m^2           |Merid surface wind stress over Ocean+SeaIce
   277 |SIqnet  |  1 |       |SM      U1|W/m^2           |Ocean surface heatflux, turb+rad, >0 decreases theta
   278 |SIqsw   |  1 |       |SM      U1|W/m^2           |Ocean surface shortwave radiat., >0 decreases theta
   279 |SIatmQnt|  1 |       |SM      U1|W/m^2           |Net atmospheric heat flux, >0 decreases theta
   280 |SItflux |  1 |       |SM      U1|W/m^2           |Same as TFLUX but incl seaice (>0 incr T decr H)
   281 |SIaaflux|  1 |       |SM      U1|W/m^2           |conservative ocn<->seaice adv. heat flux adjust.
   282 |SIhl    |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   283 |SIqneto |  1 |       |SM      U1|W/m^2           |Open Ocean Part of SIqnet, turb+rad, >0 decr theta
   284 |SIqneti |  1 |       |SM      U1|W/m^2           |Ice Covered Part of SIqnet, turb+rad, >0 decr theta
   285 |SIempmr |  1 |       |SM      U1|kg/m^2/s        |Ocean surface freshwater flux, > 0 increases salt
   286 |SIatmFW |  1 |       |SM      U1|kg/m^2/s        |Net freshwater flux from atmosphere & land (+=down)
   287 |SIsnPrcp|  1 |       |SM      U1|kg/m^2/s        |Snow precip. (+=dw) over Sea-Ice (area weighted)
   288 |SIfwSubl|  1 |       |SM      U1|kg/m^2/s        |Potential sublimation freshwater flux, >0 decr. ice
   289 |SIacSubl|  1 |       |SM      U1|kg/m^2/s        |Actual sublimation freshwater flux, >0 decr. ice
   290 |SIrsSubl|  1 |       |SM      U1|kg/m^2/s        |Residual subl. freshwater flux, >0 taken from ocn
   291 |SIactLHF|  1 |       |SM      U1|W/m^2           |Actual latent heat flux over ice
   292 |SImaxLHF|  1 |       |SM      U1|W/m^2           |Maximum latent heat flux over ice
   293 |SIaQbOCN|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by ocean ice flux
   294 |SIaQbATC|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by atm flux over ice
   295 |SIaQbATO|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by open ocn atm flux
   296 |SIdHbOCN|  1 |       |SM      M1|m/s             |HEFF rate of change by ocean ice flux
   297 |SIdSbATC|  1 |       |SM      M1|m/s             |HSNOW rate of change by atm flux over sea ice
   298 |SIdSbOCN|  1 |       |SM      M1|m/s             |HSNOW rate of change by ocean ice flux
   299 |SIdHbATC|  1 |       |SM      M1|m/s             |HEFF rate of change by atm flux over sea ice
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   300 |SIdHbATO|  1 |       |SM      M1|m/s             |HEFF rate of change by open ocn atm flux
   301 |SIdHbFLO|  1 |       |SM      M1|m/s             |HEFF rate of change by flooding snow
   302 |SIdAbATO|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by open ocn atm flux
   303 |SIdAbATC|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by atm flux over ice
   304 |SIdAbOCN|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by ocean ice flux
   305 |SIdA    |  1 |       |SM      M1|m^2/m^2/s       |AREA rate of change (net)
   306 |ADVxHEFF|  1 |   307 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff ice thickn
   307 |ADVyHEFF|  1 |   306 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff ice thickn
   308 |DFxEHEFF|  1 |   309 |UU      M1|m.m^2/s         |Zonal      Diffusive Flux of eff ice thickn
   309 |DFyEHEFF|  1 |   308 |VV      M1|m.m^2/s         |Meridional Diffusive Flux of eff ice thickn
   310 |ADVxAREA|  1 |   311 |UU      M1|m^2/m^2.m^2/s   |Zonal      Advective Flux of fract area
   311 |ADVyAREA|  1 |   310 |VV      M1|m^2/m^2.m^2/s   |Meridional Advective Flux of fract area
   312 |DFxEAREA|  1 |   313 |UU      M1|m^2/m^2.m^2/s   |Zonal      Diffusive Flux of fract area
   313 |DFyEAREA|  1 |   312 |VV      M1|m^2/m^2.m^2/s   |Meridional Diffusive Flux of fract area
   314 |ADVxSNOW|  1 |   315 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff snow thickn
   315 |ADVySNOW|  1 |   314 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff snow thickn
   316 |DFxESNOW|  1 |   317 |UU      M1|m.m^2/s         |Zonal      Diffusive Flux of eff snow thickn
   317 |DFyESNOW|  1 |   316 |VV      M1|m.m^2/s         |Meridional Diffusive Flux of eff snow thickn
   318 |ADVxSSLT|  1 |   319 |UU      M1|psu.m^2/s       |Zonal      Advective Flux of seaice salinity
   319 |ADVySSLT|  1 |   318 |VV      M1|psu.m^2/s       |Meridional Advective Flux of seaice salinity
   320 |DFxESSLT|  1 |   321 |UU      M1|psu.m^2/s       |Zonal      Diffusive Flux of seaice salinity
   321 |DFyESSLT|  1 |   320 |VV      M1|psu.m^2/s       |Meridional Diffusive Flux of seaice salinity
   322 |SIuheff |  1 |   323 |UU      M1|m^2/s           |Zonal      Transport of eff ice thickn (centered)
   323 |SIvheff |  1 |   322 |VV      M1|m^2/s           |Meridional Transport of eff ice thickn (centered)
   324 |SIpress |  1 |       |SM      M1|N/m             |SEAICE strength (with upper and lower limit)
   325 |SIzeta  |  1 |       |SM      M1|kg/s            |SEAICE nonlinear bulk viscosity
   326 |SIeta   |  1 |       |SM      M1|kg/s            |SEAICE nonlinear shear viscosity
   327 |SIsig1  |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component one
   328 |SIsig2  |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component two
   329 |SIshear |  1 |       |SM      M1|1/s             |SEAICE shear deformation rate
   330 |SIdelta |  1 |       |SM      M1|1/s             |SEAICE Delta deformation rate
   331 |SItensil|  1 |       |SM      M1|N/m             |SEAICE maximal tensile strength
   332 |SHIfwFlx|  1 |       |SM      L1|kg/m^2/s        |Ice shelf fresh water flux (positive upward)
   333 |SHIhtFlx|  1 |       |SM      L1|W/m^2           |Ice shelf heat flux  (positive upward)
   334 |SHIUDrag|115 |   335 |UU      MR|m/s^2           |U momentum tendency from ice shelf drag
   335 |SHIVDrag|115 |   334 |VV      MR|m/s^2           |V momentum tendency from ice shelf drag
   336 |SHIForcT|  1 |       |SM      L1|W/m^2           |Ice shelf forcing for theta, >0 increases theta
   337 |SHIForcS|  1 |       |SM      L1|g/m^2/s         |Ice shelf forcing for salt, >0 increases salt
   338 |SHIgammT|  1 |       |SM      L1|m/s             |Ice shelf exchange coefficient for theta
   339 |SHIgammS|  1 |       |SM      L1|m/s             |Ice shelf exchange coefficient for salt
   340 |SHIuStar|  1 |       |SM      L1|m/s             |Friction velocity at bottom of ice shelf
   341 |SHI_mass|  1 |       |SM      L1|kg/m^2          |dynamic ice shelf mass for surface load anomaly
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
